i,j,k,filename,idx,y_pred,y_test,left,condition,right,score,X_test,X_validate,y_validate
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java,412,0.95,True,RatioCommentToCode,<=,0.28,0.05519012411131405,0.09,0.09,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java,412,0.95,True,OWN_LINE,>,0.50,0.053652183071000344,0.770469798657718,0.755614266842801,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java,412,0.95,True,CountInput_Min,<=,0.50,0.04368430438611776,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java,412,0.95,True,MaxInheritanceTree,>,0.50,0.025113882380219717,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java,412,0.95,True,AvgCyclomaticModified,>,1.50,0.024741205797352277,2.0,2,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,239,0.94,True,OWN_COMMIT,>,0.50,0.3856280097059938,0.8,0.5,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,239,0.94,True,OWN_LINE,<=,0.50,-0.06407467090014422,0.35405405405405393,0.351648351648352,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,239,0.94,True,RatioCommentToCode,<=,0.28,0.051740284441200074,0.06,0.06,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,239,0.94,True,MaxInheritanceTree,>,0.50,0.02892627911767362,1.0,2,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,239,0.94,True,CountInput_Min,<=,0.50,0.026958393011986288,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,98,0.94,True,OWN_COMMIT,>,0.50,0.3842808130909996,0.818181818181818,0.4,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,98,0.94,True,OWN_LINE,<=,0.50,-0.05835637503713186,0.49503916449086205,0.465542885473475,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,98,0.94,True,CountInput_Min,<=,0.50,0.03336473314845335,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,98,0.94,True,MaxInheritanceTree,>,0.50,0.029237028663079877,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,98,0.94,True,CountClassDerived,>,0.50,-0.025446695575431645,2.0,2,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,165,0.93,True,OWN_COMMIT,>,0.50,0.38452216485241136,0.666666666666667,0.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,165,0.93,True,OWN_LINE,>,0.50,0.06748718660197253,0.805,0.902743142144638,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,165,0.93,True,RatioCommentToCode,<=,0.28,0.053081130641989056,0.22,0.22,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,165,0.93,True,CountInput_Min,<=,0.50,0.025868513608033432,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,165,0.93,True,CountInput_Mean,>,2.57,0.01988305806841311,3.22222222222222,3.22222222222222,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java,168,0.93,True,OWN_COMMIT,>,0.88,0.24851741454134346,0.9,0.5,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java,168,0.93,True,OWN_LINE,>,0.50,0.06269014580080706,0.681681681681682,0.676923076923077,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java,168,0.93,True,CountClassCoupled,>,10.50,0.060883948091680774,14.0,14,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java,168,0.93,True,RatioCommentToCode,<=,0.28,0.06082380670164775,0.25,0.23,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java,168,0.93,True,CountInput_Min,<=,0.50,0.022324204981757113,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java,231,0.92,True,OWN_COMMIT,>,0.50,0.3820125842135968,0.7647058823529409,0.857142857142857,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java,231,0.92,True,OWN_LINE,>,0.50,0.06303291092842257,0.63849765258216,0.5842391304347829,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java,231,0.92,True,RatioCommentToCode,<=,0.28,0.05968475191530132,0.24,0.26,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java,231,0.92,True,CountInput_Min,<=,0.50,0.031568559563081716,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java,231,0.92,True,CountInput_Mean,>,2.57,0.028127674762687495,3.5384615384615397,3.775,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,49,0.91,True,OWN_COMMIT,>,0.50,0.3836023629008578,0.6,0.666666666666667,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,49,0.91,True,OWN_LINE,>,0.50,0.06897147926887108,0.527462121212121,0.496396396396396,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,49,0.91,True,MaxInheritanceTree,>,0.50,0.038604245287029555,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,49,0.91,True,CountInput_Min,<=,0.50,0.03450864353503689,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,49,0.91,True,RatioCommentToCode,>,0.29,0.02776872681386341,0.41,0.39,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java,156,0.91,True,OWN_COMMIT,>,0.88,0.24428618901406957,0.9,0.75,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java,156,0.91,True,OWN_LINE,<=,0.50,-0.08846645373279945,0.39308855291576705,0.38347457627118603,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java,156,0.91,True,RatioCommentToCode,<=,0.28,0.05643470965659794,0.25,0.24,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java,156,0.91,True,CountInput_Min,<=,0.50,0.035758156396308076,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java,156,0.91,True,CountInput_Mean,>,2.57,0.025866450626045846,4.37037037037037,4.40740740740741,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/failover/FailoverTransport.java,897,0.9,True,OWN_COMMIT,>,0.50,0.38479943899088,0.76,0.8,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/failover/FailoverTransport.java,897,0.9,True,OWN_LINE,<=,0.50,-0.05583103366880749,0.439450686641698,0.46303030303030296,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/failover/FailoverTransport.java,897,0.9,True,RatioCommentToCode,<=,0.28,0.055657844192630306,0.1,0.1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/failover/FailoverTransport.java,897,0.9,True,MaxInheritanceTree,>,0.50,0.027535763945771674,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/failover/FailoverTransport.java,897,0.9,True,CountInput_Min,<=,0.50,0.02469876199040933,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,232,0.9,True,OWN_COMMIT,>,0.50,0.3880055859434927,0.6923076923076921,0.5333333333333329,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,232,0.9,True,OWN_LINE,<=,0.50,-0.06920765458349579,0.400495458298927,0.536567164179104,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,232,0.9,True,RatioCommentToCode,<=,0.28,0.05343004214746955,0.17,0.17,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,232,0.9,True,CountOutput_Min,<=,0.50,0.027365034095129876,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,232,0.9,True,CountInput_Min,<=,0.50,0.021868294306078492,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,1093,0.89,True,OWN_COMMIT,>,1.00,-0.44494299480657995,1.0,0.0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,1093,0.89,True,CountClassCoupled,>,10.50,0.06915959569329144,12.0,13,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,1093,0.89,True,OWN_LINE,>,0.50,0.05928915644320072,0.5496183206106869,0.49143835616438397,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,1093,0.89,True,RatioCommentToCode,<=,0.28,0.0528728014940284,0.25,0.25,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,1093,0.89,True,CountInput_Min,<=,0.50,0.0287780966293998,0.0,0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,787,0.88,True,OWN_COMMIT,>,0.50,0.384039875990768,0.875,1.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,787,0.88,True,OWN_LINE,>,0.50,0.05985166572723534,0.651079136690647,0.6475849731663691,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,787,0.88,True,RatioCommentToCode,<=,0.28,0.04923810598646597,0.16,0.16,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,787,0.88,True,CountInput_Min,<=,0.50,0.0351605955672237,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,787,0.88,True,MaxInheritanceTree,>,0.50,0.034775747707599315,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java,157,0.88,True,OWN_COMMIT,>,0.50,0.390842622293946,0.8,1.0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java,157,0.88,True,RatioCommentToCode,<=,0.28,0.045589915917360904,0.11,0.16,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java,157,0.88,True,MaxInheritanceTree,>,0.50,0.029596604965701188,1.0,1,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java,157,0.88,True,CountInput_Min,<=,0.50,0.026308716959759684,0.0,0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java,157,0.88,True,CountOutput_Min,<=,0.50,0.025951717493574812,0.0,0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/ft/TransactedTopicMasterSlaveTest.java,1073,0.84,True,OWN_COMMIT,<=,0.50,0.16027165495591603,0.0,1.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/ft/TransactedTopicMasterSlaveTest.java,1073,0.84,True,OWN_LINE,>,0.50,0.07000495156161204,0.563218390804598,0.6428571428571429,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/ft/TransactedTopicMasterSlaveTest.java,1073,0.84,True,CountDeclClassVariable,<=,0.50,0.024879936866583276,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/ft/TransactedTopicMasterSlaveTest.java,1073,0.84,True,AvgLineComment,>,0.50,0.023782408210810572,1.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/test/java/org/apache/activemq/broker/ft/TransactedTopicMasterSlaveTest.java,1073,0.84,True,MAJOR_LINE,<=,0.50,0.023369208746544905,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java,68,0.84,True,OWN_COMMIT,>,0.88,0.26043909794864034,0.8888888888888891,1.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java,68,0.84,True,CountClassCoupled,>,16.50,0.0692806072890161,27.0,28,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java,68,0.84,True,RatioCommentToCode,<=,0.28,0.052414067892581705,0.13,0.1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java,68,0.84,True,OWN_LINE,<=,0.50,-0.04285141081961334,0.45821325648415,0.464757709251101,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java,68,0.84,True,MaxInheritanceTree,>,1.50,-0.0169837410671982,2.0,2,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,1784,0.84,True,OWN_LINE,>,0.50,0.07023545568877142,0.555555555555556,0.430379746835443,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,1784,0.84,True,RatioCommentToCode,<=,0.28,0.050329010468014364,0.24,0.21,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,1784,0.84,True,MaxInheritanceTree,>,0.50,0.03249213654108782,1.0,1,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,1784,0.84,True,CountInput_Min,<=,0.50,0.03081956948393679,0.0,0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,1784,0.84,True,CountInput_Mean,>,2.57,0.027539847759112352,3.25,4.3125,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransport.java,987,0.83,True,OWN_COMMIT,>,0.50,0.39314704139418727,0.6,0.0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransport.java,987,0.83,True,OWN_LINE,>,0.50,0.062478878733201695,0.7014492753623189,0.7014492753623189,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransport.java,987,0.83,True,RatioCommentToCode,<=,0.28,0.057619303407512826,0.18,0.18,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransport.java,987,0.83,True,MaxInheritanceTree,>,0.50,0.03686815272494839,1.0,1,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransport.java,987,0.83,True,CountInput_Min,<=,0.50,0.035625291304183626,0.0,0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapter.java,788,0.82,True,OWN_COMMIT,>,0.50,0.3840630541867021,0.8461538461538459,0.666666666666667,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapter.java,788,0.82,True,OWN_LINE,>,0.50,0.062034182482287564,0.667692307692308,0.6591970121381889,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapter.java,788,0.82,True,RatioCommentToCode,<=,0.28,0.054330159189752876,0.15,0.15,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapter.java,788,0.82,True,MaxInheritanceTree,>,0.50,0.03157782348395235,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapter.java,788,0.82,True,CountInput_Min,<=,0.50,0.028803301407324303,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQManagedConnection.java,1785,0.81,True,OWN_COMMIT,<=,0.50,0.1577988339644621,0.0,1.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQManagedConnection.java,1785,0.81,True,OWN_LINE,>,0.50,0.06321651740611921,0.7846889952153109,0.7905236907730671,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQManagedConnection.java,1785,0.81,True,MaxInheritanceTree,>,0.50,0.03256578254721362,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQManagedConnection.java,1785,0.81,True,CountInput_Min,<=,0.50,0.029033743330016643,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQManagedConnection.java,1785,0.81,True,RatioCommentToCode,>,0.29,0.02606290585559682,0.36,0.37,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedSessionProxy.java,1797,0.81,True,OWN_COMMIT,<=,0.50,0.14742865392367122,0.0,0.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedSessionProxy.java,1797,0.81,True,OWN_LINE,>,0.50,0.05434351620541533,0.916256157635468,0.9137931034482759,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedSessionProxy.java,1797,0.81,True,RatioCommentToCode,>,1.20,-0.04711415101430207,1.25,1.24,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedSessionProxy.java,1797,0.81,True,MaxInheritanceTree,>,0.50,0.038062236793136216,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedSessionProxy.java,1797,0.81,True,CountInput_Min,<=,0.50,0.022450288546161025,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedConnectionProxy.java,1796,0.79,True,OWN_COMMIT,<=,0.50,0.1730098051241791,0.0,1.0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedConnectionProxy.java,1796,0.79,True,OWN_LINE,>,0.50,0.07900519416817188,0.82962962962963,0.82962962962963,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedConnectionProxy.java,1796,0.79,True,MaxInheritanceTree,>,0.50,0.03278938802832852,1.0,1,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedConnectionProxy.java,1796,0.79,True,CountInput_Min,<=,0.50,0.032308163435507506,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-ra/src/main/java/org/apache/activemq/ra/ManagedConnectionProxy.java,1796,0.79,True,CountDeclClassVariable,<=,0.50,0.02158846545688241,0.0,0,True
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapterFactory.java,789,0.78,True,OWN_COMMIT,<=,0.50,0.16562267957535548,0.0,0.0,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapterFactory.java,789,0.78,True,OWN_LINE,>,0.50,0.051612393984758226,0.751445086705202,0.869436201780415,False
activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapterFactory.java,789,0.78,True,MaxInheritanceTree,>,0.50,0.047091450569430454,1.0,1,False
